vulnerabilidade,modelo,f1_pct,ic95_inf,ic95_sup
REENTRANCY,Gemini,32.7,23.5,42.1
REENTRANCY,GPT-4,48.0,36.2,59.4
ACCESS_CONTROL,Gemini,23.8,14.2,34.0
ACCESS_CONTROL,GPT-4,18.4,10.3,27.0
ARITHMETIC,Gemini,26.7,15.1,38.2
ARITHMETIC,GPT-4,34.4,20.9,46.9
UNCHECKED_LL_CALLS,Gemini,61.3,51.1,71.5
UNCHECKED_LL_CALLS,GPT-4,64.1,54.5,73.2
DENIAL_OF_SERVICE,Gemini,4.8,1.0,9.2
DENIAL_OF_SERVICE,GPT-4,9.8,2.2,18.6
BAD_RANDOMNESS,Gemini,50.3,18.4,79.1
BAD_RANDOMNESS,GPT-4,74.7,47.6,90.8
FRONT_RUNNING,Gemini,4.4,0.0,9.8
FRONT_RUNNING,GPT-4,5.9,0.0,18.2
TIME_MANIPULATION,Gemini,20.2,3.7,38.4
TIME_MANIPULATION,GPT-4,32.8,6.5,57.1
SHORT_ADDRESSES,Gemini,7.8,0.0,24.2
SHORT_ADDRESSES,GPT-4,15.4,0.0,46.2
