Arquivo,Vulnerabilidade,Linha
ERC20.sol,FRONT_RUNNING,109
ERC20.sol,FRONT_RUNNING,112
parity_wallet_bug_1.sol,ACCESS_CONTROL,222
parity_wallet_bug_1.sol,ACCESS_CONTROL,436
0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol,UNCHECKED_LL_CALLS,38
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,UNCHECKED_LL_CALLS,18
0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol,UNCHECKED_LL_CALLS,28
0xbaa3de6504690efb064420d89e871c27065cdd52.sol,UNCHECKED_LL_CALLS,13
0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol,UNCHECKED_LL_CALLS,16
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,UNCHECKED_LL_CALLS,28
0x958a8f594101d2c0485a52319f29b2647f2ebc06.sol,UNCHECKED_LL_CALLS,54
blackjack.sol,BAD_RANDOMNESS,16
blackjack.sol,BAD_RANDOMNESS,18
blackjack.sol,BAD_RANDOMNESS,20
dos_number.sol,DENIAL_OF_SERVICE,17
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,REENTRANCY,53
0xa46edd6a9a93feec36576ee5048146870ea2c3ae.sol,UNCHECKED_LL_CALLS,15
0xd5967fed03e85d1cce44cab284695b41bc675b5c.sol,UNCHECKED_LL_CALLS,15
arbitrary_location_write_simple.sol,ACCESS_CONTROL,26
0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol,UNCHECKED_LL_CALLS,43
king_of_the_ether_throne.sol,UNCHECKED_LL_CALLS,109
king_of_the_ether_throne.sol,UNCHECKED_LL_CALLS,117
king_of_the_ether_throne.sol,UNCHECKED_LL_CALLS,131
king_of_the_ether_throne.sol,UNCHECKED_LL_CALLS,173
0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,UNCHECKED_LL_CALLS,43
0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,UNCHECKED_LL_CALLS,96
0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,REENTRANCY,28
0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol,UNCHECKED_LL_CALLS,43
0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol,UNCHECKED_LL_CALLS,96
mycontract.sol,ACCESS_CONTROL,19
0xec329ffc97d75fe03428ae155fc7793431487f63.sol,UNCHECKED_LL_CALLS,29
0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol,UNCHECKED_LL_CALLS,43
integer_overflow_minimal.sol,ARITHMETIC,16
0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol,UNCHECKED_LL_CALLS,43
lotto.sol,UNCHECKED_LL_CALLS,19
lotto.sol,UNCHECKED_LL_CALLS,26
0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,REENTRANCY,62
unchecked_return_value.sol,UNCHECKED_LL_CALLS,16
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,UNCHECKED_LL_CALLS,43
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,UNCHECKED_LL_CALLS,96
tokensalechallenge.sol,ARITHMETIC,22
tokensalechallenge.sol,ARITHMETIC,24
tokensalechallenge.sol,ARITHMETIC,32
0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol,UNCHECKED_LL_CALLS,53
0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol,UNCHECKED_LL_CALLS,64
0xf29ebe930a539a60279ace72c707cba851a57707.sol,UNCHECKED_LL_CALLS,15
etherpot_lotto.sol,UNCHECKED_LL_CALLS,108
